BotData 5-8-0-800-62-85-4800-12000-1
MODE 0
SIZE 11/30
LIMIT 0/32
COLOR LIMIT 5
STARS 1200/2800/4000
4 4 5 5 1 1 1 5 5 3 3
1 4 1-DoubleColor-3 1-DoubleColor-3 0 0 2-DoubleColor-4 2-DoubleColor-4 3 2 0
0 1 4 0 1-DoubleColor-3 0 2-DoubleColor-4 0 3 2 0
0 3 0 0 1-DoubleColor-3 2-DoubleColor-4 0 0 4 0 0
0 3 3 0 0 5 0 0 4 4 0
1-Chain-2-2 0 1-Chain-2-2 0 5 5 0 1 0 1 0
0 1-Chain-2-2 1-Chain-2-2 10 3 11 3 10 1 1 0
0 1-Chain-2-2 0 0 3 3 0 0 1-BGum-1 0 0
0 2 2 0 0 5 0 0 2 2 0
2-Chain-3-1 0 2-Chain-3-1 0 5 5 0 2-Chain-4-1 0 2-Chain-4-1 0
0 2-Chain-3-1 2-Chain-3-1 10 4-Chain-1-2 0 4-Chain-1-2 10 2-Chain-4-1 2-Chain-4-1 0
0 0 0 0 4-Chain-1-2 4-Chain-1-2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
