BotData 4-7-0-800-45-68-3900-8200-1
MODE 0
SIZE 11/30
LIMIT 0/28
COLOR LIMIT 5
STARS 1000/2000/3000
6-DoubleColor-5 6 6 6 6-DoubleColor-5 6-DoubleColor-5 6-DoubleColor-5 6 6 6 6-DoubleColor-5
1 0 6 0 10 10 0 6 0 3 0
0 1 1 2 2 10 5 5 3 3 0
0 1 0 0 0 0 0 0 3 0 0
0 2-Chain-4-1 2-Chain-4-1 2-Chain-4-1 1 1 1 4-Chain-3-1 4-Chain-3-1 4-Chain-3-1 0
0 2-Chain-4-1 6 0 0 0 0 6 4-Chain-3-1 0 0
0 0 0 5 0 0 0 5 0 0 0
0 0 0 5 0 0 5 0 0 0 0
0 0 0 0 10 10 10 0 0 0 0
0 0 0 3 0 0 3 0 0 0 0
0 0 0 3-Chain-1-2 0 0 0 3-Chain-2-1 0 0 0
0 0 3-Chain-1-2 3-Chain-1-2 0 0 3-Chain-2-1 3-Chain-2-1 0 0 0
0 0 0 3-Chain-1-2 1 1 1 3-Chain-2-1 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
