BotData 4-7-0-700-75-100-8000-15500-1
MODE 0
SIZE 11/30
LIMIT 0/35
COLOR LIMIT 5
STARS 1200/2800/4000
1 5 5 6 6 6 6 6 5 5 2
1 0 5 0 0 0 0 5 0 2 0
0 1 0 4 0 0 0 3 0 2 0
0 6 0 4 0 0 3 0 6 0 0
0 0 6 0 4 0 3 0 6 0 0
3-Chain-1-1 3-Chain-1-1 3-Chain-1-1 1 1 4 4 3-Chain-2-1 3-Chain-2-1 3-Chain-2-1 0
0 3-Chain-1-1 0 5 0 5 0 5 0 3-Chain-2-1 0
0 5 0 3 3 4 4 0 4 0 0
0 0 5 0 10 0 10 0 4 0 0
0 0 1-DoubleColor-3 0 4-Chain-3-2 4-Chain-3-2 0 2-DoubleColor-5 0 0 0
0 0 0 1-DoubleColor-3 4-Chain-3-2 12 4-Chain-3-2 2-DoubleColor-5 0 0 0
0 0 0 1-DoubleColor-3 1-DoubleColor-3 2-DoubleColor-5 2-DoubleColor-5 0 0 0 0
0 0 0 0 1-DoubleColor-3 10 2-DoubleColor-5 0 0 0 0
0 0 0 2 2 4 4 0 0 0 0
0 0 0 2 0 11 0 4 0 0 0
0 0 9 0 5 5 0 9 0 0 0
0 0 9 0 9 0 9 0 9 0 0
0 6 0 1 0 0 1 0 6 0 0
0 6 0 1 0 0 0 1 0 6 0
10 10 10 0 0 0 0 10 10 10 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
