BotData 3-5-0-400-32-55-2000-3500-1
MODE 0
SIZE 11/30
LIMIT 0/20
COLOR LIMIT 4
STARS 800/1200/2000
5 5 5 3-Chain-4-1 3-Chain-4-1 3-Chain-4-1 3-Chain-4-1 3-Chain-4-1 5 5 5
5 5 3-Chain-4-1 11 4 4 4 3-Chain-4-1 5 5 0
0 3 0 10 5-Chain-1-2 5-Chain-1-2 5-Chain-1-2 10 0 3 0
3 10 0 5-Chain-1-2 0 0 5-Chain-1-2 0 10 3 0
1-Chain-2-1 1-Chain-2-1 1-Chain-2-1 0 0 0 0 0 1-Chain-3-1 1-Chain-3-1 1-Chain-3-1
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
